Rank,Category,Subcategory,Percentage
1,Seeking Information,Specific Info,18.30%
2,Writing,Edit Or Critique Provided Text,10.60%
3,Practical Guidance,Tutoring Or Teaching,10.20%
4,Practical Guidance,How To Advice,8.50%
5,Writing,Personal Writing Or Communication,8.00%
6,Practical Guidance,"Health, Fitness, Beauty Or Self Care",5.70%
7,Writing,Translation,4.50%
8,Multimedia,Create An Image,4.20%
9,Technical Help,Computer Programming,4.20%
10,Other / Unknown,Other / Unknown,4.10%
11,Practical Guidance,Creative Ideation,3.90%
12,Writing,Argument Or Summary Generation,3.60%
13,Technical Help,Mathematical Calculation,3.00%
14,Seeking Information,Purchasable Products,2.10%
15,Self-Expression,Greetings And Chitchat,2.00%
16,Self-Expression,Relationships And Personal Reflection,1.90%
17,Writing,Write Fiction,1.40%
18,Multimedia,Generate Or Retrieve Other Media,1.10%
19,Seeking Information,Cooking And Recipes,0.90%
20,Multimedia,Analyze An Image,0.60%
21,Technical Help,Data Analysis,0.40%
22,Self-Expression,Games And Role Play,0.40%
23,Other / Unknown,Asking About The Model,0.40%
